tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,107,6,fixed,0.46
0.02,50,3.0,107,6,lag1,0.46
0.02,50,3.0,107,6,adaptive,0.46
0.02,50,3.0,107,6,gated,0.46
0.02,50,3.0,107,6,offline,0.46
0.02,50,3.0,108,6,fixed,0.6
0.02,50,3.0,108,6,lag1,0.64
0.02,50,3.0,108,6,adaptive,0.6
0.02,50,3.0,108,6,gated,0.64
0.02,50,3.0,108,6,offline,0.6
0.02,50,3.0,109,6,fixed,0.52
0.02,50,3.0,109,6,lag1,0.54
0.02,50,3.0,109,6,adaptive,0.52
0.02,50,3.0,109,6,gated,0.54
0.02,50,3.0,109,6,offline,0.54
0.02,50,3.0,110,6,fixed,0.56
0.02,50,3.0,110,6,lag1,0.56
0.02,50,3.0,110,6,adaptive,0.56
0.02,50,3.0,110,6,gated,0.56
0.02,50,3.0,110,6,offline,0.56
0.02,50,3.0,111,6,fixed,0.38
0.02,50,3.0,111,6,lag1,0.4
0.02,50,3.0,111,6,adaptive,0.38
0.02,50,3.0,111,6,gated,0.4
0.02,50,3.0,111,6,offline,0.42
0.02,50,3.0,112,6,fixed,0.5
0.02,50,3.0,112,6,lag1,0.48
0.02,50,3.0,112,6,adaptive,0.5
0.02,50,3.0,112,6,gated,0.48
0.02,50,3.0,112,6,offline,0.5
0.02,50,3.0,113,6,fixed,0.48
0.02,50,3.0,113,6,lag1,0.48
0.02,50,3.0,113,6,adaptive,0.48
0.02,50,3.0,113,6,gated,0.48
0.02,50,3.0,113,6,offline,0.48
0.02,50,3.0,114,6,fixed,0.5
0.02,50,3.0,114,6,lag1,0.5
0.02,50,3.0,114,6,adaptive,0.5
0.02,50,3.0,114,6,gated,0.5
0.02,50,3.0,114,6,offline,0.54
0.02,50,3.0,115,6,fixed,0.5
0.02,50,3.0,115,6,lag1,0.48
0.02,50,3.0,115,6,adaptive,0.5
0.02,50,3.0,115,6,gated,0.48
0.02,50,3.0,115,6,offline,0.5
0.02,50,3.0,116,6,fixed,0.46
0.02,50,3.0,116,6,lag1,0.48
0.02,50,3.0,116,6,adaptive,0.46
0.02,50,3.0,116,6,gated,0.48
0.02,50,3.0,116,6,offline,0.44
0.02,50,3.0,117,6,fixed,0.46
0.02,50,3.0,117,6,lag1,0.48
0.02,50,3.0,117,6,adaptive,0.46
0.02,50,3.0,117,6,gated,0.48
0.02,50,3.0,117,6,offline,0.46
0.02,50,3.0,118,6,fixed,0.42
0.02,50,3.0,118,6,lag1,0.46
0.02,50,3.0,118,6,adaptive,0.42
0.02,50,3.0,118,6,gated,0.46
0.02,50,3.0,118,6,offline,0.46
0.02,50,3.0,119,6,fixed,0.32
0.02,50,3.0,119,6,lag1,0.32
0.02,50,3.0,119,6,adaptive,0.32
0.02,50,3.0,119,6,gated,0.32
0.02,50,3.0,119,6,offline,0.34
0.02,50,3.0,120,6,fixed,0.58
0.02,50,3.0,120,6,lag1,0.62
0.02,50,3.0,120,6,adaptive,0.58
0.02,50,3.0,120,6,gated,0.62
0.02,50,3.0,120,6,offline,0.6
0.02,50,3.0,121,6,fixed,0.52
0.02,50,3.0,121,6,lag1,0.5
0.02,50,3.0,121,6,adaptive,0.52
0.02,50,3.0,121,6,gated,0.5
0.02,50,3.0,121,6,offline,0.52
0.02,50,3.0,122,6,fixed,0.66
0.02,50,3.0,122,6,lag1,0.7
0.02,50,3.0,122,6,adaptive,0.66
0.02,50,3.0,122,6,gated,0.7
0.02,50,3.0,122,6,offline,0.68
0.02,50,3.0,123,6,fixed,0.42
0.02,50,3.0,123,6,lag1,0.4
0.02,50,3.0,123,6,adaptive,0.42
0.02,50,3.0,123,6,gated,0.4
0.02,50,3.0,123,6,offline,0.4
0.02,50,3.0,124,6,fixed,0.64
0.02,50,3.0,124,6,lag1,0.62
0.02,50,3.0,124,6,adaptive,0.64
0.02,50,3.0,124,6,gated,0.62
0.02,50,3.0,124,6,offline,0.66
0.02,50,3.0,125,6,fixed,0.38
0.02,50,3.0,125,6,lag1,0.38
0.02,50,3.0,125,6,adaptive,0.38
0.02,50,3.0,125,6,gated,0.38
0.02,50,3.0,125,6,offline,0.42
0.02,50,3.0,126,6,fixed,0.54
0.02,50,3.0,126,6,lag1,0.48
0.02,50,3.0,126,6,adaptive,0.54
0.02,50,3.0,126,6,gated,0.48
0.02,50,3.0,126,6,offline,0.54
0.02,50,3.0,127,6,fixed,0.46
0.02,50,3.0,127,6,lag1,0.46
0.02,50,3.0,127,6,adaptive,0.46
0.02,50,3.0,127,6,gated,0.46
0.02,50,3.0,127,6,offline,0.5
0.02,50,3.0,128,6,fixed,0.52
0.02,50,3.0,128,6,lag1,0.58
0.02,50,3.0,128,6,adaptive,0.52
0.02,50,3.0,128,6,gated,0.58
0.02,50,3.0,128,6,offline,0.52
0.02,50,3.0,129,6,fixed,0.5
0.02,50,3.0,129,6,lag1,0.52
0.02,50,3.0,129,6,adaptive,0.5
0.02,50,3.0,129,6,gated,0.52
0.02,50,3.0,129,6,offline,0.5
0.03,50,3.0,105,1,fixed,0.62
0.03,50,3.0,105,1,lag1,0.62
0.03,50,3.0,105,1,adaptive,0.62
0.03,50,3.0,105,1,gated,0.62
0.03,50,3.0,105,1,offline,0.62
0.03,50,3.0,106,1,fixed,0.64
0.03,50,3.0,106,1,lag1,0.64
0.03,50,3.0,106,1,adaptive,0.64
0.03,50,3.0,106,1,gated,0.64
0.03,50,3.0,106,1,offline,0.64
0.03,50,3.0,107,1,fixed,0.66
0.03,50,3.0,107,1,lag1,0.66
0.03,50,3.0,107,1,adaptive,0.66
0.03,50,3.0,107,1,gated,0.66
0.03,50,3.0,107,1,offline,0.66
0.03,50,3.0,108,1,fixed,0.5
0.03,50,3.0,108,1,lag1,0.5
0.03,50,3.0,108,1,adaptive,0.5
0.03,50,3.0,108,1,gated,0.5
0.03,50,3.0,108,1,offline,0.5
0.03,50,3.0,109,1,fixed,0.66
0.03,50,3.0,109,1,lag1,0.66
0.03,50,3.0,109,1,adaptive,0.66
0.03,50,3.0,109,1,gated,0.66
0.03,50,3.0,109,1,offline,0.66
0.03,50,3.0,110,1,fixed,0.56
0.03,50,3.0,110,1,lag1,0.56
0.03,50,3.0,110,1,adaptive,0.56
0.03,50,3.0,110,1,gated,0.56
0.03,50,3.0,110,1,offline,0.56
0.03,50,3.0,111,1,fixed,0.58
0.03,50,3.0,111,1,lag1,0.58
0.03,50,3.0,111,1,adaptive,0.58
0.03,50,3.0,111,1,gated,0.58
0.03,50,3.0,111,1,offline,0.58
0.03,50,3.0,112,1,fixed,0.62
0.03,50,3.0,112,1,lag1,0.62
0.03,50,3.0,112,1,adaptive,0.62
0.03,50,3.0,112,1,gated,0.62
0.03,50,3.0,112,1,offline,0.62
0.03,50,3.0,113,1,fixed,0.66
0.03,50,3.0,113,1,lag1,0.66
0.03,50,3.0,113,1,adaptive,0.66
0.03,50,3.0,113,1,gated,0.66
0.03,50,3.0,113,1,offline,0.66
0.03,50,3.0,114,1,fixed,0.46
0.03,50,3.0,114,1,lag1,0.46
0.03,50,3.0,114,1,adaptive,0.46
0.03,50,3.0,114,1,gated,0.46
0.03,50,3.0,114,1,offline,0.46
0.03,50,3.0,115,1,fixed,0.6
0.03,50,3.0,115,1,lag1,0.6
0.03,50,3.0,115,1,adaptive,0.6
0.03,50,3.0,115,1,gated,0.6
0.03,50,3.0,115,1,offline,0.6
0.03,50,3.0,116,1,fixed,0.6
0.03,50,3.0,116,1,lag1,0.6
0.03,50,3.0,116,1,adaptive,0.6
0.03,50,3.0,116,1,gated,0.6
0.03,50,3.0,116,1,offline,0.6
0.03,50,3.0,117,1,fixed,0.64
0.03,50,3.0,117,1,lag1,0.64
0.03,50,3.0,117,1,adaptive,0.64
0.03,50,3.0,117,1,gated,0.64
0.03,50,3.0,117,1,offline,0.64
0.03,50,3.0,118,1,fixed,0.52
0.03,50,3.0,118,1,lag1,0.52
0.03,50,3.0,118,1,adaptive,0.52
0.03,50,3.0,118,1,gated,0.52
0.03,50,3.0,118,1,offline,0.52
0.03,50,3.0,119,1,fixed,0.7
0.03,50,3.0,119,1,lag1,0.7
0.03,50,3.0,119,1,adaptive,0.7
0.03,50,3.0,119,1,gated,0.7
0.03,50,3.0,119,1,offline,0.7
0.03,50,3.0,120,1,fixed,0.66
0.03,50,3.0,120,1,lag1,0.66
0.03,50,3.0,120,1,adaptive,0.66
0.03,50,3.0,120,1,gated,0.66
0.03,50,3.0,120,1,offline,0.66
0.03,50,3.0,121,1,fixed,0.52
0.03,50,3.0,121,1,lag1,0.52
0.03,50,3.0,121,1,adaptive,0.52
0.03,50,3.0,121,1,gated,0.52
0.03,50,3.0,121,1,offline,0.52
0.03,50,3.0,122,1,fixed,0.46
0.03,50,3.0,122,1,lag1,0.46
0.03,50,3.0,122,1,adaptive,0.46
0.03,50,3.0,122,1,gated,0.46
0.03,50,3.0,122,1,offline,0.46
0.03,50,3.0,123,1,fixed,0.64
0.03,50,3.0,123,1,lag1,0.64
0.03,50,3.0,123,1,adaptive,0.64
0.03,50,3.0,123,1,gated,0.64
0.03,50,3.0,123,1,offline,0.64
0.03,50,3.0,124,1,fixed,0.58
0.03,50,3.0,124,1,lag1,0.58
0.03,50,3.0,124,1,adaptive,0.58
0.03,50,3.0,124,1,gated,0.58
0.03,50,3.0,124,1,offline,0.58
0.03,50,3.0,125,1,fixed,0.58
0.03,50,3.0,125,1,lag1,0.58
0.03,50,3.0,125,1,adaptive,0.58
0.03,50,3.0,125,1,gated,0.58
0.03,50,3.0,125,1,offline,0.58
0.03,50,3.0,126,1,fixed,0.6
0.03,50,3.0,126,1,lag1,0.6
0.03,50,3.0,126,1,adaptive,0.6
0.03,50,3.0,126,1,gated,0.6
0.03,50,3.0,126,1,offline,0.6
0.03,50,3.0,127,1,fixed,0.52
0.03,50,3.0,127,1,lag1,0.52
0.03,50,3.0,127,1,adaptive,0.52
0.03,50,3.0,127,1,gated,0.52
0.03,50,3.0,127,1,offline,0.52
0.03,50,3.0,128,1,fixed,0.72
0.03,50,3.0,128,1,lag1,0.72
0.03,50,3.0,128,1,adaptive,0.72
0.03,50,3.0,128,1,gated,0.72
0.03,50,3.0,128,1,offline,0.72
0.03,50,3.0,129,1,fixed,0.58
0.03,50,3.0,129,1,lag1,0.58
0.03,50,3.0,129,1,adaptive,0.58
0.03,50,3.0,129,1,gated,0.58
0.03,50,3.0,129,1,offline,0.58
0.03,50,3.0,105,2,fixed,0.56
0.03,50,3.0,105,2,lag1,0.72
0.03,50,3.0,105,2,adaptive,0.56
0.03,50,3.0,105,2,gated,0.72
0.03,50,3.0,105,2,offline,0.7
0.03,50,3.0,106,2,fixed,0.56
0.03,50,3.0,106,2,lag1,0.9
0.03,50,3.0,106,2,adaptive,0.56
0.03,50,3.0,106,2,gated,0.9
0.03,50,3.0,106,2,offline,0.9
0.03,50,3.0,107,2,fixed,0.52
0.03,50,3.0,107,2,lag1,0.78
0.03,50,3.0,107,2,adaptive,0.52
0.03,50,3.0,107,2,gated,0.78
0.03,50,3.0,107,2,offline,0.8
0.03,50,3.0,108,2,fixed,0.62
0.03,50,3.0,108,2,lag1,0.82
0.03,50,3.0,108,2,adaptive,0.62
0.03,50,3.0,108,2,gated,0.82
0.03,50,3.0,108,2,offline,0.8
0.03,50,3.0,109,2,fixed,0.5
0.03,50,3.0,109,2,lag1,0.68
0.03,50,3.0,109,2,adaptive,0.5
0.03,50,3.0,109,2,gated,0.68
0.03,50,3.0,109,2,offline,0.66
0.03,50,3.0,110,2,fixed,0.52
0.03,50,3.0,110,2,lag1,0.8
0.03,50,3.0,110,2,adaptive,0.52
0.03,50,3.0,110,2,gated,0.8
0.03,50,3.0,110,2,offline,0.82
0.03,50,3.0,111,2,fixed,0.52
0.03,50,3.0,111,2,lag1,0.72
0.03,50,3.0,111,2,adaptive,0.52
0.03,50,3.0,111,2,gated,0.72
0.03,50,3.0,111,2,offline,0.74
0.03,50,3.0,112,2,fixed,0.48
0.03,50,3.0,112,2,lag1,0.64
0.03,50,3.0,112,2,adaptive,0.48
0.03,50,3.0,112,2,gated,0.64
0.03,50,3.0,112,2,offline,0.66
0.03,50,3.0,113,2,fixed,0.58
0.03,50,3.0,113,2,lag1,0.8
0.03,50,3.0,113,2,adaptive,0.58
0.03,50,3.0,113,2,gated,0.8
0.03,50,3.0,113,2,offline,0.82
0.03,50,3.0,114,2,fixed,0.44
0.03,50,3.0,114,2,lag1,0.72
0.03,50,3.0,114,2,adaptive,0.44
0.03,50,3.0,114,2,gated,0.72
0.03,50,3.0,114,2,offline,0.7
0.03,50,3.0,115,2,fixed,0.5
0.03,50,3.0,115,2,lag1,0.66
0.03,50,3.0,115,2,adaptive,0.5
0.03,50,3.0,115,2,gated,0.66
0.03,50,3.0,115,2,offline,0.7
0.03,50,3.0,116,2,fixed,0.64
0.03,50,3.0,116,2,lag1,0.58
0.03,50,3.0,116,2,adaptive,0.64
0.03,50,3.0,116,2,gated,0.58
0.03,50,3.0,116,2,offline,0.62
0.03,50,3.0,117,2,fixed,0.5
0.03,50,3.0,117,2,lag1,0.82
0.03,50,3.0,117,2,adaptive,0.5
0.03,50,3.0,117,2,gated,0.82
0.03,50,3.0,117,2,offline,0.82
0.03,50,3.0,118,2,fixed,0.56
0.03,50,3.0,118,2,lag1,0.72
0.03,50,3.0,118,2,adaptive,0.56
0.03,50,3.0,118,2,gated,0.72
0.03,50,3.0,118,2,offline,0.74
0.03,50,3.0,119,2,fixed,0.5
0.03,50,3.0,119,2,lag1,0.64
0.03,50,3.0,119,2,adaptive,0.5
0.03,50,3.0,119,2,gated,0.64
0.03,50,3.0,119,2,offline,0.66
0.03,50,3.0,120,2,fixed,0.54
0.03,50,3.0,120,2,lag1,0.6
0.03,50,3.0,120,2,adaptive,0.54
0.03,50,3.0,120,2,gated,0.6
0.03,50,3.0,120,2,offline,0.66
0.03,50,3.0,121,2,fixed,0.54
0.03,50,3.0,121,2,lag1,0.7
0.03,50,3.0,121,2,adaptive,0.54
0.03,50,3.0,121,2,gated,0.7
0.03,50,3.0,121,2,offline,0.72
0.03,50,3.0,122,2,fixed,0.6
0.03,50,3.0,122,2,lag1,0.86
0.03,50,3.0,122,2,adaptive,0.6
0.03,50,3.0,122,2,gated,0.86
0.03,50,3.0,122,2,offline,0.86
0.03,50,3.0,123,2,fixed,0.6
0.03,50,3.0,123,2,lag1,0.7
0.03,50,3.0,123,2,adaptive,0.6
0.03,50,3.0,123,2,gated,0.7
0.03,50,3.0,123,2,offline,0.74
0.03,50,3.0,124,2,fixed,0.64
0.03,50,3.0,124,2,lag1,0.84
0.03,50,3.0,124,2,adaptive,0.64
0.03,50,3.0,124,2,gated,0.84
0.03,50,3.0,124,2,offline,0.88
0.03,50,3.0,125,2,fixed,0.52
0.03,50,3.0,125,2,lag1,0.7
0.03,50,3.0,125,2,adaptive,0.52
0.03,50,3.0,125,2,gated,0.7
0.03,50,3.0,125,2,offline,0.74
0.03,50,3.0,126,2,fixed,0.52
0.03,50,3.0,126,2,lag1,0.74
0.03,50,3.0,126,2,adaptive,0.52
0.03,50,3.0,126,2,gated,0.74
0.03,50,3.0,126,2,offline,0.76
0.03,50,3.0,127,2,fixed,0.62
0.03,50,3.0,127,2,lag1,0.74
0.03,50,3.0,127,2,adaptive,0.62
0.03,50,3.0,127,2,gated,0.74
0.03,50,3.0,127,2,offline,0.76
0.03,50,3.0,128,2,fixed,0.52
0.03,50,3.0,128,2,lag1,0.86
0.03,50,3.0,128,2,adaptive,0.52
0.03,50,3.0,128,2,gated,0.86
0.03,50,3.0,128,2,offline,0.86
0.03,50,3.0,129,2,fixed,0.5
0.03,50,3.0,129,2,lag1,0.78
0.03,50,3.0,129,2,adaptive,0.5
0.03,50,3.0,129,2,gated,0.78
0.03,50,3.0,129,2,offline,0.8
0.03,50,3.0,105,3,fixed,0.6
0.03,50,3.0,105,3,lag1,0.64
0.03,50,3.0,105,3,adaptive,0.64
0.03,50,3.0,105,3,gated,0.64
0.03,50,3.0,105,3,offline,0.66
0.03,50,3.0,106,3,fixed,0.76
0.03,50,3.0,106,3,lag1,0.76
0.03,50,3.0,106,3,adaptive,0.76
0.03,50,3.0,106,3,gated,0.76
0.03,50,3.0,106,3,offline,0.82
0.03,50,3.0,107,3,fixed,0.44
0.03,50,3.0,107,3,lag1,0.62
0.03,50,3.0,107,3,adaptive,0.62
0.03,50,3.0,107,3,gated,0.62
0.03,50,3.0,107,3,offline,0.6
0.03,50,3.0,108,3,fixed,0.54
0.03,50,3.0,108,3,lag1,0.7
0.03,50,3.0,108,3,adaptive,0.7
0.03,50,3.0,108,3,gated,0.7
0.03,50,3.0,108,3,offline,0.72
0.03,50,3.0,109,3,fixed,0.48
0.03,50,3.0,109,3,lag1,0.56
0.03,50,3.0,109,3,adaptive,0.56
0.03,50,3.0,109,3,gated,0.56
0.03,50,3.0,109,3,offline,0.62
0.03,50,3.0,110,3,fixed,0.52
0.03,50,3.0,110,3,lag1,0.66
0.03,50,3.0,110,3,adaptive,0.66
0.03,50,3.0,110,3,gated,0.66
0.03,50,3.0,110,3,offline,0.64
0.03,50,3.0,111,3,fixed,0.58
0.03,50,3.0,111,3,lag1,0.72
0.03,50,3.0,111,3,adaptive,0.72
0.03,50,3.0,111,3,gated,0.72
0.03,50,3.0,111,3,offline,0.72
0.03,50,3.0,112,3,fixed,0.6
0.03,50,3.0,112,3,lag1,0.68
0.03,50,3.0,112,3,adaptive,0.68
0.03,50,3.0,112,3,gated,0.68
0.03,50,3.0,112,3,offline,0.72
0.03,50,3.0,113,3,fixed,0.6
0.03,50,3.0,113,3,lag1,0.66
0.03,50,3.0,113,3,adaptive,0.66
0.03,50,3.0,113,3,gated,0.66
0.03,50,3.0,113,3,offline,0.66
0.03,50,3.0,114,3,fixed,0.5
0.03,50,3.0,114,3,lag1,0.66
0.03,50,3.0,114,3,adaptive,0.66
0.03,50,3.0,114,3,gated,0.66
0.03,50,3.0,114,3,offline,0.62
0.03,50,3.0,115,3,fixed,0.44
0.03,50,3.0,115,3,lag1,0.5
0.03,50,3.0,115,3,adaptive,0.5
0.03,50,3.0,115,3,gated,0.5
0.03,50,3.0,115,3,offline,0.54
0.03,50,3.0,116,3,fixed,0.58
0.03,50,3.0,116,3,lag1,0.62
0.03,50,3.0,116,3,adaptive,0.62
0.03,50,3.0,116,3,gated,0.62
0.03,50,3.0,116,3,offline,0.66
0.03,50,3.0,117,3,fixed,0.42
0.03,50,3.0,117,3,lag1,0.56
0.03,50,3.0,117,3,adaptive,0.56
0.03,50,3.0,117,3,gated,0.56
0.03,50,3.0,117,3,offline,0.58
0.03,50,3.0,118,3,fixed,0.54
0.03,50,3.0,118,3,lag1,0.58
0.03,50,3.0,118,3,adaptive,0.58
0.03,50,3.0,118,3,gated,0.58
0.03,50,3.0,118,3,offline,0.66
0.03,50,3.0,119,3,fixed,0.54
0.03,50,3.0,119,3,lag1,0.66
0.03,50,3.0,119,3,adaptive,0.66
0.03,50,3.0,119,3,gated,0.66
0.03,50,3.0,119,3,offline,0.66
0.03,50,3.0,120,3,fixed,0.5
0.03,50,3.0,120,3,lag1,0.54
0.03,50,3.0,120,3,adaptive,0.54
0.03,50,3.0,120,3,gated,0.54
0.03,50,3.0,120,3,offline,0.58
0.03,50,3.0,121,3,fixed,0.7
0.03,50,3.0,121,3,lag1,0.66
0.03,50,3.0,121,3,adaptive,0.66
0.03,50,3.0,121,3,gated,0.66
0.03,50,3.0,121,3,offline,0.72
0.03,50,3.0,122,3,fixed,0.5
0.03,50,3.0,122,3,lag1,0.6
0.03,50,3.0,122,3,adaptive,0.6
0.03,50,3.0,122,3,gated,0.6
0.03,50,3.0,122,3,offline,0.7
0.03,50,3.0,123,3,fixed,0.66
0.03,50,3.0,123,3,lag1,0.5
0.03,50,3.0,123,3,adaptive,0.5
0.03,50,3.0,123,3,gated,0.5
0.03,50,3.0,123,3,offline,0.66
0.03,50,3.0,124,3,fixed,0.56
0.03,50,3.0,124,3,lag1,0.52
0.03,50,3.0,124,3,adaptive,0.52
0.03,50,3.0,124,3,gated,0.52
0.03,50,3.0,124,3,offline,0.62
0.03,50,3.0,125,3,fixed,0.54
0.03,50,3.0,125,3,lag1,0.58
0.03,50,3.0,125,3,adaptive,0.58
0.03,50,3.0,125,3,gated,0.58
0.03,50,3.0,125,3,offline,0.6
0.03,50,3.0,126,3,fixed,0.66
0.03,50,3.0,126,3,lag1,0.64
0.03,50,3.0,126,3,adaptive,0.64
0.03,50,3.0,126,3,gated,0.64
0.03,50,3.0,126,3,offline,0.68
0.03,50,3.0,127,3,fixed,0.68
0.03,50,3.0,127,3,lag1,0.68
0.03,50,3.0,127,3,adaptive,0.68
0.03,50,3.0,127,3,gated,0.68
0.03,50,3.0,127,3,offline,0.76
0.03,50,3.0,128,3,fixed,0.56
0.03,50,3.0,128,3,lag1,0.78
0.03,50,3.0,128,3,adaptive,0.78
0.03,50,3.0,128,3,gated,0.78
0.03,50,3.0,128,3,offline,0.78
0.03,50,3.0,129,3,fixed,0.6
0.03,50,3.0,129,3,lag1,0.62
0.03,50,3.0,129,3,adaptive,0.62
0.03,50,3.0,129,3,gated,0.62
0.03,50,3.0,129,3,offline,0.64
0.03,50,3.0,105,4,fixed,0.48
0.03,50,3.0,105,4,lag1,0.56
0.03,50,3.0,105,4,adaptive,0.56
0.03,50,3.0,105,4,gated,0.56
0.03,50,3.0,105,4,offline,0.56
0.03,50,3.0,106,4,fixed,0.46
0.03,50,3.0,106,4,lag1,0.56
0.03,50,3.0,106,4,adaptive,0.56
0.03,50,3.0,106,4,gated,0.56
0.03,50,3.0,106,4,offline,0.54
0.03,50,3.0,107,4,fixed,0.46
0.03,50,3.0,107,4,lag1,0.56
0.03,50,3.0,107,4,adaptive,0.56
0.03,50,3.0,107,4,gated,0.56
0.03,50,3.0,107,4,offline,0.56
0.03,50,3.0,108,4,fixed,0.54
0.03,50,3.0,108,4,lag1,0.6
0.03,50,3.0,108,4,adaptive,0.6
0.03,50,3.0,108,4,gated,0.6
0.03,50,3.0,108,4,offline,0.6
0.03,50,3.0,109,4,fixed,0.46
0.03,50,3.0,109,4,lag1,0.46
0.03,50,3.0,109,4,adaptive,0.46
0.03,50,3.0,109,4,gated,0.46
0.03,50,3.0,109,4,offline,0.46
0.03,50,3.0,110,4,fixed,0.56
0.03,50,3.0,110,4,lag1,0.64
0.03,50,3.0,110,4,adaptive,0.64
0.03,50,3.0,110,4,gated,0.64
0.03,50,3.0,110,4,offline,0.64
0.03,50,3.0,111,4,fixed,0.58
0.03,50,3.0,111,4,lag1,0.64
0.03,50,3.0,111,4,adaptive,0.64
0.03,50,3.0,111,4,gated,0.64
0.03,50,3.0,111,4,offline,0.64
0.03,50,3.0,112,4,fixed,0.46
0.03,50,3.0,112,4,lag1,0.6
0.03,50,3.0,112,4,adaptive,0.6
0.03,50,3.0,112,4,gated,0.6
0.03,50,3.0,112,4,offline,0.6
0.03,50,3.0,113,4,fixed,0.4
0.03,50,3.0,113,4,lag1,0.56
0.03,50,3.0,113,4,adaptive,0.56
0.03,50,3.0,113,4,gated,0.56
0.03,50,3.0,113,4,offline,0.54
0.03,50,3.0,114,4,fixed,0.62
0.03,50,3.0,114,4,lag1,0.7
0.03,50,3.0,114,4,adaptive,0.7
0.03,50,3.0,114,4,gated,0.7
0.03,50,3.0,114,4,offline,0.7
0.03,50,3.0,115,4,fixed,0.52
0.03,50,3.0,115,4,lag1,0.6
0.03,50,3.0,115,4,adaptive,0.6
0.03,50,3.0,115,4,gated,0.6
0.03,50,3.0,115,4,offline,0.62
0.03,50,3.0,116,4,fixed,0.66
0.03,50,3.0,116,4,lag1,0.78
0.03,50,3.0,116,4,adaptive,0.78
0.03,50,3.0,116,4,gated,0.78
0.03,50,3.0,116,4,offline,0.76
0.03,50,3.0,117,4,fixed,0.6
0.03,50,3.0,117,4,lag1,0.62
0.03,50,3.0,117,4,adaptive,0.62
0.03,50,3.0,117,4,gated,0.62
0.03,50,3.0,117,4,offline,0.62
0.03,50,3.0,118,4,fixed,0.5
0.03,50,3.0,118,4,lag1,0.66
0.03,50,3.0,118,4,adaptive,0.66
0.03,50,3.0,118,4,gated,0.66
0.03,50,3.0,118,4,offline,0.66
0.03,50,3.0,119,4,fixed,0.56
0.03,50,3.0,119,4,lag1,0.68
0.03,50,3.0,119,4,adaptive,0.68
0.03,50,3.0,119,4,gated,0.68
0.03,50,3.0,119,4,offline,0.66
0.03,50,3.0,120,4,fixed,0.42
0.03,50,3.0,120,4,lag1,0.5
0.03,50,3.0,120,4,adaptive,0.5
0.03,50,3.0,120,4,gated,0.5
0.03,50,3.0,120,4,offline,0.5
0.03,50,3.0,121,4,fixed,0.5
0.03,50,3.0,121,4,lag1,0.56
0.03,50,3.0,121,4,adaptive,0.56
0.03,50,3.0,121,4,gated,0.56
0.03,50,3.0,121,4,offline,0.56
0.03,50,3.0,122,4,fixed,0.48
0.03,50,3.0,122,4,lag1,0.54
0.03,50,3.0,122,4,adaptive,0.54
0.03,50,3.0,122,4,gated,0.54
0.03,50,3.0,122,4,offline,0.52
0.03,50,3.0,123,4,fixed,0.52
0.03,50,3.0,123,4,lag1,0.68
0.03,50,3.0,123,4,adaptive,0.68
0.03,50,3.0,123,4,gated,0.68
0.03,50,3.0,123,4,offline,0.68
0.03,50,3.0,124,4,fixed,0.64
0.03,50,3.0,124,4,lag1,0.68
0.03,50,3.0,124,4,adaptive,0.68
0.03,50,3.0,124,4,gated,0.68
0.03,50,3.0,124,4,offline,0.66
0.03,50,3.0,125,4,fixed,0.5
0.03,50,3.0,125,4,lag1,0.6
0.03,50,3.0,125,4,adaptive,0.6
0.03,50,3.0,125,4,gated,0.6
0.03,50,3.0,125,4,offline,0.6
0.03,50,3.0,126,4,fixed,0.46
0.03,50,3.0,126,4,lag1,0.56
0.03,50,3.0,126,4,adaptive,0.56
0.03,50,3.0,126,4,gated,0.56
0.03,50,3.0,126,4,offline,0.58
0.03,50,3.0,127,4,fixed,0.5
0.03,50,3.0,127,4,lag1,0.62
0.03,50,3.0,127,4,adaptive,0.62
0.03,50,3.0,127,4,gated,0.62
0.03,50,3.0,127,4,offline,0.62
0.03,50,3.0,128,4,fixed,0.5
0.03,50,3.0,128,4,lag1,0.64
0.03,50,3.0,128,4,adaptive,0.64
0.03,50,3.0,128,4,gated,0.64
0.03,50,3.0,128,4,offline,0.66
0.03,50,3.0,129,4,fixed,0.48
0.03,50,3.0,129,4,lag1,0.56
0.03,50,3.0,129,4,adaptive,0.56
0.03,50,3.0,129,4,gated,0.56
0.03,50,3.0,129,4,offline,0.56
0.03,50,3.0,105,5,fixed,0.56
0.03,50,3.0,105,5,lag1,0.6
0.03,50,3.0,105,5,adaptive,0.56
0.03,50,3.0,105,5,gated,0.6
0.03,50,3.0,105,5,offline,0.62
0.03,50,3.0,106,5,fixed,0.56
0.03,50,3.0,106,5,lag1,0.56
0.03,50,3.0,106,5,adaptive,0.56
0.03,50,3.0,106,5,gated,0.56
0.03,50,3.0,106,5,offline,0.56
0.03,50,3.0,107,5,fixed,0.48
0.03,50,3.0,107,5,lag1,0.62
0.03,50,3.0,107,5,adaptive,0.48
0.03,50,3.0,107,5,gated,0.62
0.03,50,3.0,107,5,offline,0.54
0.03,50,3.0,108,5,fixed,0.52
0.03,50,3.0,108,5,lag1,0.6
0.03,50,3.0,108,5,adaptive,0.52
0.03,50,3.0,108,5,gated,0.6
0.03,50,3.0,108,5,offline,0.54
0.03,50,3.0,109,5,fixed,0.58
0.03,50,3.0,109,5,lag1,0.66
0.03,50,3.0,109,5,adaptive,0.58
0.03,50,3.0,109,5,gated,0.66
0.03,50,3.0,109,5,offline,0.62
